what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1486677442726
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1486677442727
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1486677442728
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1486677442729
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486677442730
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486677442730
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486677442730
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486677442731
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486677442732
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486677442732
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486677442733
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486677442734
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486677442734
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486677442735
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486677442735
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486677442736
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486677442736
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486677442736
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486677442737
os,sysinfo,,,"linux",1486677442739
arch,sysinfo,,,"x86",1486677442739
ws,sysinfo,,,"gtk",1486677442739
locale,sysinfo,,,"en_US",1486677442739
processors,sysinfo,,,"8",1486677442739
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486677442740
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486677442740
java.specification.name,sysinfo,,,"Java Platform API Specification",1486677442740
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486677442740
java.specification.version,sysinfo,,,"1.6",1486677442740
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486677442740
java.version,sysinfo,,,"1.6.0_23",1486677442740
java.vm.info,sysinfo,,,"mixed mode",1486677442740
